"crypto_fullname","crypto_nrc","gender","programme_as_admitted","school_abbr","school"
"349f32bf","00da4518","F","BACHELOR OF LAWS","Law","SCHOOL OF LAW"
"328960b1","ffe57a22","F","BACHELOR OF MEDICINE AND BACHELOR OF SURGERY","Human Med.","SCHOOL OF MEDICINE"
"2ec7581b","f15948dc","M","BACHELOR OF LAWS","Law","SCHOOL OF LAW"
"c9f1873e","5dfe334e","F","BACHELOR OF MEDICINE AND BACHELOR OF SURGERY","Human Med.","SCHOOL OF MEDICINE"
"eb9c6220","c6f0d5af","M","BACHELOR OF LAWS","Law","SCHOOL OF LAW"
"f8246168","843aff15","M","BACHELOR OF ARTS","HSS","SCHOOL OF HUMANITIES AND SOCIAL SCIENCES"
"2c978a6e","c2921394","F","BACHELOR OF MEDICINE AND BACHELOR OF SURGERY","Human Med.","SCHOOL OF MEDICINE"
"176b815d","6df78bd3","F","BACHELOR OF ARTS","HSS","SCHOOL OF HUMANITIES AND SOCIAL SCIENCES"
"176b815d","6df78bd3","F","BACHELOR OF ARTS","HSS","SCHOOL OF HUMANITIES AND SOCIAL SCIENCES"
"565d9c56","2ba2b756","M","BACHELOR OF ENGINEERING","Engineering","SCHOOL OF ENGINEERING"
"f0b16078","a8d2ad14","F","BACHELOR OF SCIENCE - PH","Pub. Health","SCHOOL OF PUBLIC HEALTH"
"292e0669","ee4f0ae8","M","BACHELOR OF MEDICINE AND BACHELOR OF SURGERY","Human Med.","SCHOOL OF MEDICINE"
"f90e73ac","acc95c63","F","BACHELOR OF MEDICINE AND BACHELOR OF SURGERY","Human Med.","SCHOOL OF MEDICINE"
"6ae16925","a59d7a35","M","BACHELOR OF SCIENCE IN PHYSIOTHERAPY","Health Sc.","SCHOOL OF HEALTH SCIENCES"
"0ac29d10","fdc3a964","F","BACHELOR OF MEDICINE AND BACHELOR OF SURGERY","Human Med.","SCHOOL OF MEDICINE"
"6686525e","fd77f830","M","BACHELOR OF MEDICINE AND BACHELOR OF SURGERY","Human Med.","SCHOOL OF MEDICINE"
"d49f3b03","9f4bcb68","F","BACHELOR OF MEDICINE AND BACHELOR OF SURGERY","Human Med.","SCHOOL OF MEDICINE"
"d5aeca8a","b6fb0c31","M","BACHELOR OF AGRICULTURAL SCIENCES","Agric. Sc","SCHOOL OF AGRICULTURAL SCIENCES"
"be5086be","fbb1dcfb","F","BACHELOR OF MEDICINE AND BACHELOR OF SURGERY","Human Med.","SCHOOL OF MEDICINE"
"fcc71e20","d94e037d","M","BACHELOR OF PHARMACY","Health Sc.","SCHOOL OF HEALTH SCIENCES"
"53e5bccb","5c340040","M","BACHELOR OF MEDICINE AND BACHELOR OF SURGERY","Human Med.","SCHOOL OF MEDICINE"
"f5e7f117","1a008d45","M","BACHELOR OF MEDICINE AND BACHELOR OF SURGERY","Human Med.","SCHOOL OF MEDICINE"
"3e334586","1f3437b5","F","BACHELOR OF MEDICINE AND BACHELOR OF SURGERY","Human Med.","SCHOOL OF MEDICINE"
"0da95853","b79bae7d","M","BACHELOR OF MEDICINE AND BACHELOR OF SURGERY","Human Med.","SCHOOL OF MEDICINE"
"c5df0315","26ed4790","F","BACHELOR OF MEDICINE AND BACHELOR OF SURGERY","Human Med.","SCHOOL OF MEDICINE"
"2ec95002","716c08c1","F","BACHELOR OF MEDICINE AND BACHELOR OF SURGERY","Human Med.","SCHOOL OF MEDICINE"
"4766991e","07ab07ef","F","BACHELOR OF LAWS","Law","SCHOOL OF LAW"
"c3711718","559aa5b5","F","BACHELOR OF ENGINEERING","Engineering","SCHOOL OF ENGINEERING"
"900b9a1b","163cf405","M","BACHELOR OF ARTS","HSS","SCHOOL OF HUMANITIES AND SOCIAL SCIENCES"
"8c953c5a","0b577651","F","BACHELOR OF MEDICINE AND BACHELOR OF SURGERY","Human Med.","SCHOOL OF MEDICINE"
"b62f4e7d","034f5849","M","BACHELOR OF MEDICINE AND BACHELOR OF SURGERY","Human Med.","SCHOOL OF MEDICINE"
"957685b6","41cf29d9","F","BACHELOR OF MEDICINE AND BACHELOR OF SURGERY","Human Med.","SCHOOL OF MEDICINE"
"0a2b1427","a5602a42","M","BACHELOR OF ENGINEERING","Engineering","SCHOOL OF ENGINEERING"
"66e1c4a4","c3b1723a","F","BACHELOR OF MEDICINE AND BACHELOR OF SURGERY","Human Med.","SCHOOL OF MEDICINE"
"799cc1a7","03381a68","F","BACHELOR OF ARTS","HSS","SCHOOL OF HUMANITIES AND SOCIAL SCIENCES"
"8a73110d","e06aaa9a","F","BACHELOR OF LAWS","Law","SCHOOL OF LAW"
"2fbf70da","ef2598ce","M","BACHELOR OF MEDICINE AND BACHELOR OF SURGERY","Human Med.","SCHOOL OF MEDICINE"
"aa0bd77a","db3e0f86","M","BACHELOR OF LAWS","Law","SCHOOL OF LAW"
"467fbfb8","4b95505b","F","BACHELOR OF MEDICINE AND BACHELOR OF SURGERY","Human Med.","SCHOOL OF MEDICINE"
"7a207b7f","e5390aec","M","BACHELOR OF INFORMATION AND COMMUNICATION TECHNOLOGIES WITH EDUCATION (B.ICTs.Ed)","Education","SCHOOL OF EDUCATION"
"f0d67930","6f5baaf5","M","BACHELOR OF MEDICINE AND BACHELOR OF SURGERY","Human Med.","SCHOOL OF MEDICINE"
"aee88947","54a734c2","M","BACHELOR OF COMPUTER SCIENCE","NS","SCHOOL OF NATURAL SCIENCES"
"be2c68ea","e65eaf32","F","BACHELOR OF LAWS","Law","SCHOOL OF LAW"
"05966a54","dc13457e","F","BACHELOR OF ARTS","HSS","SCHOOL OF HUMANITIES AND SOCIAL SCIENCES"
"05966a54","dc13457e","F","BACHELOR OF ARTS","HSS","SCHOOL OF HUMANITIES AND SOCIAL SCIENCES"
"05966a54","dc13457e","F","BACHELOR OF ARTS","HSS","SCHOOL OF HUMANITIES AND SOCIAL SCIENCES"
"cd04c956","ad30b4a9","M","BACHELOR OF MEDICINE AND BACHELOR OF SURGERY","Human Med.","SCHOOL OF MEDICINE"
"2c4b93fe","d74ede92","F","BACHELOR OF MEDICINE AND BACHELOR OF SURGERY","Human Med.","SCHOOL OF MEDICINE"
"59daa577","c426b473","M","BACHELOR OF MEDICINE AND BACHELOR OF SURGERY","Human Med.","SCHOOL OF MEDICINE"
"3d7bcdb5","4c250941","F","BACHELOR OF PHARMACY","Health Sc.","SCHOOL OF HEALTH SCIENCES"
"232dd1e2","3289ec30","M","BACHELOR OF ENGINEERING","Engineering","SCHOOL OF ENGINEERING"
"040c18fa","c488fa1d","M","BACHELOR OF COMPUTER SCIENCE","NS","SCHOOL OF NATURAL SCIENCES"
"c4e7f5a8","956cab02","M","BACHELOR OF COMPUTER SCIENCE","NS","SCHOOL OF NATURAL SCIENCES"
"7d8f73bd","38186dd8","M","BACHELOR OF ARTS WITH EDUCATION","Education","SCHOOL OF EDUCATION"
"213bcff4","1f63aafc","F","BACHELOR OF ENGINEERING","Engineering","SCHOOL OF ENGINEERING"
"b98275fe","619546e1","M","BACHELOR OF LAWS","Law","SCHOOL OF LAW"
"314de2ad","742d4446","M","BACHELOR OF MEDICINE AND BACHELOR OF SURGERY","Human Med.","SCHOOL OF MEDICINE"
"74b4cb41","b2013479","M","BACHELOR OF MEDICINE AND BACHELOR OF SURGERY","Human Med.","SCHOOL OF MEDICINE"
"80d82429","8bb9fafb","F","BACHELOR OF SCIENCE IN BIOMEDICAL SCIENCES","Health Sc.","SCHOOL OF HEALTH SCIENCES"
"69d8b7c7","c4f2b7b7","M","BACHELOR OF MEDICINE AND BACHELOR OF SURGERY","Human Med.","SCHOOL OF MEDICINE"
"c5c74651","5708fb48","M","BACHELOR OF ENGINEERING","Engineering","SCHOOL OF ENGINEERING"
"e68caf0e","db3f2e4f","M","BACHELOR OF PHARMACY","Health Sc.","SCHOOL OF HEALTH SCIENCES"
"cc038337","20e90ef9","M","BACHELOR OF COMPUTER SCIENCE","NS","SCHOOL OF NATURAL SCIENCES"
"a68b4a69","12db818b","M","BACHELOR OF ENGINEERING","Engineering","SCHOOL OF ENGINEERING"
"161447f8","9054bb8c","F","BACHELOR OF SCIENCE IN BIOMEDICAL SCIENCES","Health Sc.","SCHOOL OF HEALTH SCIENCES"
"a8faef9f","9704b493","M","BACHELOR OF SCIENCE IN BIOMEDICAL SCIENCES","Health Sc.","SCHOOL OF HEALTH SCIENCES"
"9180f91f","31dbbc93","M","BACHELOR OF BUSINESS ADMINISTRATION","HSS","SCHOOL OF HUMANITIES AND SOCIAL SCIENCES"
"7f2c0470","515753ab","M","BACHELOR OF COMPUTER SCIENCE","NS","SCHOOL OF NATURAL SCIENCES"
"f0997e25","02f4fb5c","F","BACHELOR OF ARTS","HSS","SCHOOL OF HUMANITIES AND SOCIAL SCIENCES"
"90110fc3","8e46b11c","M","BACHELOR OF ENGINEERING","Engineering","SCHOOL OF ENGINEERING"
"59fceb10","1b3d3dee","M","BACHELOR OF ENGINEERING","Engineering","SCHOOL OF ENGINEERING"
"5753d555","8a6c961d","M","BACHELOR OF MEDICINE AND BACHELOR OF SURGERY","Human Med.","SCHOOL OF MEDICINE"
"21fca841","c60d6dd5","F","BACHELOR OF MEDICINE AND BACHELOR OF SURGERY","Human Med.","SCHOOL OF MEDICINE"
"c6b655d8","ef27ce93","M","BACHELOR OF ENGINEERING","Engineering","SCHOOL OF ENGINEERING"
"95604b69","5a07a6a2","F","BACHELOR OF MEDICINE AND BACHELOR OF SURGERY","Human Med.","SCHOOL OF MEDICINE"
"595c02eb","d26a80b8","M","BACHELOR OF MEDICINE AND BACHELOR OF SURGERY","Human Med.","SCHOOL OF MEDICINE"
"3ddca6f6","355d1368","M","BACHELOR OF SCIENCE IN GEOLOGY","Mines","SCHOOL OF MINES"
"458f5a53","b1c5314a","F","BACHELOR OF VETERINARY - VET","Vet. Med.","SCHOOL OF VETERINARY MEDICINE"
"8b6c12e0","ec0d24ce","F","BACHELOR OF MEDICINE AND BACHELOR OF SURGERY","Human Med.","SCHOOL OF MEDICINE"
"2d945d24","a4537f7c","M","BACHELOR OF SCIENCE IN BIOMEDICAL SCIENCES","Health Sc.","SCHOOL OF HEALTH SCIENCES"
"fb30fd5e","9665ad35","F","BACHELOR OF MEDICINE AND BACHELOR OF SURGERY","Human Med.","SCHOOL OF MEDICINE"
"36d907be","87048ccd","M","BACHELOR OF COMPUTER SCIENCE","NS","SCHOOL OF NATURAL SCIENCES"
"d7801987","aee39fa2","M","BACHELOR OF MEDICINE AND BACHELOR OF SURGERY","Human Med.","SCHOOL OF MEDICINE"
"615be61d","4fde7e6b","M","BACHELOR OF ARTS","HSS","SCHOOL OF HUMANITIES AND SOCIAL SCIENCES"
"615be61d","4fde7e6b","M","BACHELOR OF ARTS","HSS","SCHOOL OF HUMANITIES AND SOCIAL SCIENCES"
"0a02fc9a","310e0099","F","BACHELOR OF ENGINEERING","Engineering","SCHOOL OF ENGINEERING"
"c2a144f5","4c1e89c4","M","BACHELOR OF MEDICINE AND BACHELOR OF SURGERY","Human Med.","SCHOOL OF MEDICINE"
"f0f80f77","78ef04fa","M","BACHELOR OF ENGINEERING","Engineering","SCHOOL OF ENGINEERING"
"f0f80f77","78ef04fa","M","BACHELOR OF ENGINEERING","Engineering","SCHOOL OF ENGINEERING"
"045ef1ab","aa9c13aa","M","BACHELOR OF MEDICINE AND BACHELOR OF SURGERY","Human Med.","SCHOOL OF MEDICINE"
"aea94bb3","b3d439b7","M","BACHELOR OF ARTS","HSS","SCHOOL OF HUMANITIES AND SOCIAL SCIENCES"
"8faaa8bc","4072a14f","F","BACHELOR OF MEDICINE AND BACHELOR OF SURGERY","Human Med.","SCHOOL OF MEDICINE"
"4eb2a6f4","ee8d025c","F","BACHELOR OF BUSINESS ADMINISTRATION","HSS","SCHOOL OF HUMANITIES AND SOCIAL SCIENCES"
"2a7d704d","e25023ea","F","BACHELOR OF SCIENCE IN NURSING","Nursing Sc.","SCHOOL OF NURSING SCIENCES"
"c2b227a4","dd4f05d9","M","BACHELOR OF SCIENCE IN NURSING","Nursing Sc.","SCHOOL OF NURSING SCIENCES"
