"student_id","crypto_fullname","crypto_nrc","gender","program_description","study_description","school_abbr","school"
2022000412,"3a32257e","29793d6f","F","BACHELOR OF SCIENCE AGRICULTURAL ECONOMICS","AGRICULTURAL ECONOMICS","Agric. Sc","SCHOOL OF AGRICULTURAL SCIENCES"
2022000595,"36d35e99","020d839b","F","BACHELOR OF SCIENCE AGRICULTURAL ECONOMICS","AGRICULTURAL ECONOMICS","Agric. Sc","SCHOOL OF AGRICULTURAL SCIENCES"
2022002580,"b16d3f63","16012d74","F","BACHELOR OF SCIENCE AGRICULTURAL ECONOMICS","AGRICULTURAL ECONOMICS","Agric. Sc","SCHOOL OF AGRICULTURAL SCIENCES"
2022002709,"e92dcb77","710c9a1d","M","BACHELOR OF SCIENCE AGRICULTURAL ECONOMICS","AGRICULTURAL ECONOMICS","Agric. Sc","SCHOOL OF AGRICULTURAL SCIENCES"
2022003284,"65ace3f9","2bbb2268","F","BACHELOR OF SCIENCE AGRICULTURAL ECONOMICS","AGRICULTURAL ECONOMICS","Agric. Sc","SCHOOL OF AGRICULTURAL SCIENCES"
2022004680,"871fc0fd","6508f267","F","BACHELOR OF SCIENCE AGRICULTURAL ECONOMICS","AGRICULTURAL ECONOMICS","Agric. Sc","SCHOOL OF AGRICULTURAL SCIENCES"
2022005538,"cd29509d","9ff82d9e","F","BACHELOR OF SCIENCE AGRICULTURAL ECONOMICS","AGRICULTURAL ECONOMICS","Agric. Sc","SCHOOL OF AGRICULTURAL SCIENCES"
2022005651,"65151fb4","715acd5c","M","BACHELOR OF SCIENCE AGRICULTURAL ECONOMICS","AGRICULTURAL ECONOMICS","Agric. Sc","SCHOOL OF AGRICULTURAL SCIENCES"
2022006402,"233c53bc","a415256e","M","BACHELOR OF SCIENCE AGRICULTURAL ECONOMICS","AGRICULTURAL ECONOMICS","Agric. Sc","SCHOOL OF AGRICULTURAL SCIENCES"
2022006569,"86d1e291","64caba75","F","BACHELOR OF SCIENCE AGRICULTURAL ECONOMICS","AGRICULTURAL ECONOMICS","Agric. Sc","SCHOOL OF AGRICULTURAL SCIENCES"
2022006887,"068667b4","2eb50d46","F","BACHELOR OF SCIENCE AGRICULTURAL ECONOMICS","AGRICULTURAL ECONOMICS","Agric. Sc","SCHOOL OF AGRICULTURAL SCIENCES"
2022007484,"1a661a3d","2a95240b","F","BACHELOR OF SCIENCE AGRICULTURAL ECONOMICS","AGRICULTURAL ECONOMICS","Agric. Sc","SCHOOL OF AGRICULTURAL SCIENCES"
2022009363,"2e923526","ac42a4c4","F","BACHELOR OF SCIENCE AGRICULTURAL ECONOMICS","AGRICULTURAL ECONOMICS","Agric. Sc","SCHOOL OF AGRICULTURAL SCIENCES"
2022011651,"d37df771","e9c0b461","F","BACHELOR OF SCIENCE AGRICULTURAL ECONOMICS","AGRICULTURAL ECONOMICS","Agric. Sc","SCHOOL OF AGRICULTURAL SCIENCES"
2022012097,"6d6296d3","bb74dd37","F","BACHELOR OF SCIENCE AGRICULTURAL ECONOMICS","AGRICULTURAL ECONOMICS","Agric. Sc","SCHOOL OF AGRICULTURAL SCIENCES"
2022014162,"8e2bd49e","a4559d79","F","BACHELOR OF SCIENCE AGRICULTURAL ECONOMICS","AGRICULTURAL ECONOMICS","Agric. Sc","SCHOOL OF AGRICULTURAL SCIENCES"
2022015134,"8916adf1","a21b2ac4","M","BACHELOR OF SCIENCE AGRICULTURAL ECONOMICS","AGRICULTURAL ECONOMICS","Agric. Sc","SCHOOL OF AGRICULTURAL SCIENCES"
2022015746,"8293194f","0e9613ed","M","BACHELOR OF SCIENCE AGRICULTURAL ECONOMICS","AGRICULTURAL ECONOMICS","Agric. Sc","SCHOOL OF AGRICULTURAL SCIENCES"
2022015762,"76aff3cd","ef6a3ac6","F","BACHELOR OF SCIENCE AGRICULTURAL ECONOMICS","AGRICULTURAL ECONOMICS","Agric. Sc","SCHOOL OF AGRICULTURAL SCIENCES"
2022016751,"c90664af","91ca5ffb","M","BACHELOR OF SCIENCE AGRICULTURAL ECONOMICS","AGRICULTURAL ECONOMICS","Agric. Sc","SCHOOL OF AGRICULTURAL SCIENCES"
